smiles,性质分类,性质名,值,单位
*OCC(C)COC(=O)CCC(*)=O,量子化学性质,QM Polarizability YZ Component Monomer 1,0.4164983208164365,a.u.
*OCC(C)COC(=O)CCC(*)=O,量子化学性质,QM Polarizability ZZ Component Monomer 1,14.169958944340385,a.u.
*OCC(C)COC(=O)CCC(*)=O,结构性质,QM Total Energy Monomer 1,-1613392.131,Hartree
*OCC(C)COC(=O)CCC(*)=O,结构性质,Radius of Gyration,18.85849556499999,nm
*OCC(C)COC(=O)CCC(*)=O,光学性质,Refractive Index,1.4487524841270152,
*OCC(C)COC(=O)CCC(*)=O,结构性质,Scaled Radius of Gyration,0.0922867851974283,
*OCC(C)COC(=O)CCC(*)=O,动力学性质,Self-Diffusion Coefficient,9.956504462940157e-13,cm2/s
*OCC(C)COC(=O)CCC(*)=O,电学性质,Static Dielectric Constant,2.2499726882719164,
*OCC(C)COC(=O)CCC(*)=O,热力学性质,Temperature,300.0,K
*OCC(C)COC(=O)CCC(*)=O,热力学性质,Tg Fit RMSE,0.0173091250228047,
*OCC(C)COC(=O)CCC(*)=O,热力学性质,Thermal Conductivity,0.2256282060207266,W/m·K
*OCC(C)COC(=O)CCC(*)=O,热力学性质,Thermal Expansion Coefficient Above Tg,-0.000746044,1/K
*OCC(C)COC(=O)CCC(*)=O,热力学性质,Thermal Expansion Coefficient Below Tg,-0.000308106,1/K
*OCC(C)COC(=O)CCC(*)=O,热力学性质,Volume Expansion Coefficient,0.0003608384417027,1/K
*OCC(C)COC(=O)CCC(*)=O,分子量信息,Weight Average Molecular Weight,7089.449999999966,g/mol
*OCC1CC2C3CC(COC(=O)CCC(*)=O)C(C3)C2C1,热力学性质,Angle Thermal Conductivity,0.0840829946306507,W/m·K
*OCC1CC2C3CC(COC(=O)CCC(*)=O)C(C3)C2C1,热力学性质,Bond Thermal Conductivity,0.0647051379760549,W/m·K
*OCC1CC2C3CC(COC(=O)CCC(*)=O)C(C3)C2C1,电学性质,DC Dielectric Constant,2.723853161944008,
*OCC1CC2C3CC(COC(=O)CCC(*)=O)C(C3)C2C1,物理性质,Density,1.1081659578499998,g/cm³
*OCC1CC2C3CC(COC(=O)CCC(*)=O)C(C3)C2C1,热力学性质,Dihedral Thermal Conductivity,0.0062238058664055,W/m·K
*OCC1CC2C3CC(COC(=O)CCC(*)=O)C(C3)C2C1,热力学性质,Improper Thermal Conductivity,0.0,W/m·K
*OCC1CC2C3CC(COC(=O)CCC(*)=O)C(C3)C2C1,物理性质,Initial Density,0.05,g/cm³
*OCC1CC2C3CC(COC(=O)CCC(*)=O)C(C3)C2C1,热力学性质,Isobaric Heat Capacity,3476.184251799947,J/mol·K
*OCC1CC2C3CC(COC(=O)CCC(*)=O)C(C3)C2C1,热力学性质,Isochoric Heat Capacity,3430.60031718146,J/mol·K
*OCC1CC2C3CC(COC(=O)CCC(*)=O)C(C3)C2C1,热力学性质,K-space Thermal Conductivity,0.001144405392624,W/m·K
*OCC1CC2C3CC(COC(=O)CCC(*)=O)C(C3)C2C1,热力学性质,Kinetic Energy Thermal Conductivity,0.0097374491293165,W/m·K
*OCC1CC2C3CC(COC(=O)CCC(*)=O)C(C3)C2C1,热力学性质,Linear Expansion Coefficient,6.711965804645979e-05,1/K
*OCC1CC2C3CC(COC(=O)CCC(*)=O)C(C3)C2C1,结构性质,Mean Squared End-to-End Distance,36.35765089416504,nm²
*OCC1CC2C3CC(COC(=O)CCC(*)=O)C(C3)C2C1,分子量信息,Molecular Weight Monomer 1,278.3479999999996,g/mol
*OCC1CC2C3CC(COC(=O)CCC(*)=O)C(C3)C2C1,分子量信息,Number Average Molecular Weight,6710.421999999979,g/mol
*OCC1CC2C3CC(COC(=O)CCC(*)=O)C(C3)C2C1,热力学性质,Pairwise Thermal Conductivity,0.0478013572964297,W/m·K
*OCC1CC2C3CC(COC(=O)CCC(*)=O)C(C3)C2C1,分子量信息,Polydispersity Index,1.0,
*OCC1CC2C3CC(COC(=O)CCC(*)=O)C(C3)C2C1,热力学性质,Potential Energy Thermal Conductivity,0.0075110730957415,W/m·K
*OCC1CC2C3CC(COC(=O)CCC(*)=O)C(C3)C2C1,量子化学性质,QM Dipole Moment Monomer 1,3.965401390502666,Debye
*OCC1CC2C3CC(COC(=O)CCC(*)=O)C(C3)C2C1,结构性质,QM HOMO Energy Monomer 1,-9.936011173,eV
*OCC1CC2C3CC(COC(=O)CCC(*)=O)C(C3)C2C1,结构性质,QM LUMO Energy Monomer 1,1.5752298206322377,eV
*OCC1CC2C3CC(COC(=O)CCC(*)=O)C(C3)C2C1,量子化学性质,QM Polarizability Monomer 1,27.74475188053064,a.u.
*OCC1CC2C3CC(COC(=O)CCC(*)=O)C(C3)C2C1,量子化学性质,QM Polarizability XX Component Monomer 1,30.49957495054244,a.u.
*OCC1CC2C3CC(COC(=O)CCC(*)=O)C(C3)C2C1,量子化学性质,QM Polarizability XY Component Monomer 1,-1.20053177,a.u.
*OCC1CC2C3CC(COC(=O)CCC(*)=O)C(C3)C2C1,量子化学性质,QM Polarizability XZ Component Monomer 1,0.4481442035659638,a.u.
*OCC1CC2C3CC(COC(=O)CCC(*)=O)C(C3)C2C1,量子化学性质,QM Polarizability YY Component Monomer 1,28.062623292759167,a.u.
*OCC1CC2C3CC(COC(=O)CCC(*)=O)C(C3)C2C1,量子化学性质,QM Polarizability YZ Component Monomer 1,2.313809697727981,a.u.
*OCC1CC2C3CC(COC(=O)CCC(*)=O)C(C3)C2C1,量子化学性质,QM Polarizability ZZ Component Monomer 1,24.6720573982903,a.u.
*OCC1CC2C3CC(COC(=O)CCC(*)=O)C(C3)C2C1,结构性质,QM Total Energy Monomer 1,-2430090.707,Hartree
*OCC1CC2C3CC(COC(=O)CCC(*)=O)C(C3)C2C1,结构性质,Radius of Gyration,21.90095259500001,nm
*OCC1CC2C3CC(COC(=O)CCC(*)=O)C(C3)C2C1,光学性质,Refractive Index,1.469281267775851,
*OCC1CC2C3CC(COC(=O)CCC(*)=O)C(C3)C2C1,结构性质,Scaled Radius of Gyration,0.1107676917213806,
*OCC1CC2C3CC(COC(=O)CCC(*)=O)C(C3)C2C1,动力学性质,Self-Diffusion Coefficient,7.595756614989497e-13,cm2/s
*OCC1CC2C3CC(COC(=O)CCC(*)=O)C(C3)C2C1,电学性质,Static Dielectric Constant,1.5650657181069954,
*OCC1CC2C3CC(COC(=O)CCC(*)=O)C(C3)C2C1,热力学性质,Temperature,300.0,K
*OCC1CC2C3CC(COC(=O)CCC(*)=O)C(C3)C2C1,热力学性质,Thermal Conductivity,0.2212062233872232,W/m·K
*OCC1CC2C3CC(COC(=O)CCC(*)=O)C(C3)C2C1,热力学性质,Volume Expansion Coefficient,0.0002013589741393,1/K
*OCC1CC2C3CC(COC(=O)CCC(*)=O)C(C3)C2C1,分子量信息,Weight Average Molecular Weight,6710.421999999979,g/mol
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,热力学性质,Angle Thermal Conductivity,0.0638405971438473,W/m·K
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,热力学性质,Bond Thermal Conductivity,0.0647940342716025,W/m·K
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,电学性质,DC Dielectric Constant,2.531994985556336,
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,物理性质,Density,1.018073219,g/cm³
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,热力学性质,Dihedral Thermal Conductivity,0.0083674520073013,W/m·K
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,热力学性质,Glass Transition Temperature,434.4501423623813,K
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,热力学性质,Improper Thermal Conductivity,0.0,W/m·K
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,物理性质,Initial Density,0.05,g/cm³
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,热力学性质,Isobaric Heat Capacity,3574.2889995346045,J/mol·K
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,热力学性质,Isochoric Heat Capacity,3442.303575885009,J/mol·K
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,热力学性质,K-space Thermal Conductivity,0.0014007534585581,W/m·K
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,热力学性质,Kinetic Energy Thermal Conductivity,0.0112164042268734,W/m·K
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,热力学性质,Linear Expansion Coefficient,0.000127204890465,1/K
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,结构性质,Mean Squared End-to-End Distance,17.182200337409974,nm²
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,分子量信息,Molecular Weight Monomer 1,242.31500000000017,g/mol
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,分子量信息,Number Average Molecular Weight,6087.944999999961,g/mol
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,热力学性质,Pairwise Thermal Conductivity,0.0607428251009345,W/m·K
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,分子量信息,Polydispersity Index,1.0,
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,热力学性质,Potential Energy Thermal Conductivity,0.0044485642603269,W/m·K
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,量子化学性质,QM Dipole Moment Monomer 1,1.8162988331114664,Debye
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,结构性质,QM HOMO Energy Monomer 1,-9.959207948,eV
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,结构性质,QM LUMO Energy Monomer 1,1.1778906034672016,eV
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,量子化学性质,QM Polarizability Monomer 1,24.81633079575648,a.u.
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,量子化学性质,QM Polarizability XX Component Monomer 1,28.57553030200188,a.u.
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,量子化学性质,QM Polarizability XY Component Monomer 1,0.1151113826197504,a.u.
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,量子化学性质,QM Polarizability XZ Component Monomer 1,0.2028910265154377,a.u.
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,量子化学性质,QM Polarizability YY Component Monomer 1,24.21283549665168,a.u.
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,量子化学性质,QM Polarizability YZ Component Monomer 1,-0.33231953,a.u.
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,量子化学性质,QM Polarizability ZZ Component Monomer 1,21.660626588615887,a.u.
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,结构性质,QM Total Energy Monomer 1,-2129750.914,Hartree
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,结构性质,Radius of Gyration,17.917045670000014,nm
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,光学性质,Refractive Index,1.4389660740961687,
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,结构性质,Scaled Radius of Gyration,0.0960691545060375,
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,动力学性质,Self-Diffusion Coefficient,3.296262343873285e-13,cm2/s
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,电学性质,Static Dielectric Constant,1.461371623156595,
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,热力学性质,Temperature,300.0,K
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,热力学性质,Tg Fit RMSE,0.0170878957053402,
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,热力学性质,Thermal Conductivity,0.2148106304694442,W/m·K
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,热力学性质,Thermal Expansion Coefficient Above Tg,-0.000725877,1/K
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,热力学性质,Thermal Expansion Coefficient Below Tg,-0.000325079,1/K
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,热力学性质,Volume Expansion Coefficient,0.000381614671395,1/K
*OCC(CC)(CCCC)COC(=O)CCC(*)=O,分子量信息,Weight Average Molecular Weight,6087.94499999996,g/mol
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,热力学性质,Angle Thermal Conductivity,0.0828530808472052,W/m·K
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,热力学性质,Bond Thermal Conductivity,0.0397623843140753,W/m·K
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,电学性质,DC Dielectric Constant,2.5792190511209947,
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,物理性质,Density,1.1287011,g/cm³
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,热力学性质,Dihedral Thermal Conductivity,0.0105432547435262,W/m·K
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,热力学性质,Glass Transition Temperature,397.81662136296006,K
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,热力学性质,Improper Thermal Conductivity,0.0,W/m·K
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,物理性质,Initial Density,0.05,g/cm³
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,热力学性质,Isobaric Heat Capacity,3559.3587655607284,J/mol·K
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,热力学性质,Isochoric Heat Capacity,3362.21181608888,J/mol·K
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,热力学性质,K-space Thermal Conductivity,0.0015613826975608,W/m·K
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,热力学性质,Kinetic Energy Thermal Conductivity,0.0133047621264637,W/m·K
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,热力学性质,Linear Expansion Coefficient,0.0001500342656548,1/K
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,结构性质,Mean Squared End-to-End Distance,8.776896347999573,nm²
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,分子量信息,Molecular Weight Monomer 1,286.3239999999996,g/mol
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,分子量信息,Number Average Molecular Weight,6901.845999999967,g/mol
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,热力学性质,Pairwise Thermal Conductivity,0.0601795616131509,W/m·K
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,分子量信息,Polydispersity Index,1.0,
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,热力学性质,Potential Energy Thermal Conductivity,0.0055862301525301,W/m·K
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,量子化学性质,QM Dipole Moment Monomer 1,1.3702263576705216,Debye
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,结构性质,QM HOMO Energy Monomer 1,-9.32239116,eV
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,结构性质,QM LUMO Energy Monomer 1,1.4941475301515452,eV
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,量子化学性质,QM Polarizability Monomer 1,27.2268840510432,a.u.
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,量子化学性质,QM Polarizability XX Component Monomer 1,30.95058957808567,a.u.
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,量子化学性质,QM Polarizability XY Component Monomer 1,-1.823747752,a.u.
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,量子化学性质,QM Polarizability XZ Component Monomer 1,-0.135671759,a.u.
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,量子化学性质,QM Polarizability YY Component Monomer 1,26.017682410725715,a.u.
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,量子化学性质,QM Polarizability YZ Component Monomer 1,-2.667875026,a.u.
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,量子化学性质,QM Polarizability ZZ Component Monomer 1,24.71238016431821,a.u.
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,结构性质,QM Total Energy Monomer 1,-2624998.968,Hartree
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,结构性质,Radius of Gyration,15.113205319999995,nm
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,光学性质,Refractive Index,1.4538848107948346,
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,结构性质,Scaled Radius of Gyration,0.0751583822710018,
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,动力学性质,Self-Diffusion Coefficient,5.919272511241713e-13,cm2/s
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,电学性质,Static Dielectric Constant,1.4654380080610625,
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,热力学性质,Temperature,300.0,K
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,热力学性质,Tg Fit RMSE,0.0407284793294331,
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,热力学性质,Thermal Conductivity,0.2137906564945125,W/m·K
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,热力学性质,Thermal Expansion Coefficient Above Tg,-0.000782923,1/K
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,热力学性质,Thermal Expansion Coefficient Below Tg,-0.000270943,1/K
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,热力学性质,Volume Expansion Coefficient,0.0004501027969644,1/K
*OC(COC(=O)CCC(*)=O)COC1CCCCC1OC,分子量信息,Weight Average Molecular Weight,6901.845999999966,g/mol
*OCCC(C)CCOC(=O)CCC(*)=O,热力学性质,Angle Thermal Conductivity,0.0912465659116639,W/m·K
*OCCC(C)CCOC(=O)CCC(*)=O,热力学性质,Bond Thermal Conductivity,0.0727117971802194,W/m·K
*OCCC(C)CCOC(=O)CCC(*)=O,电学性质,DC Dielectric Constant,2.7521726635523587,
*OCCC(C)CCOC(=O)CCC(*)=O,物理性质,Density,1.098912934,g/cm³
*OCCC(C)CCOC(=O)CCC(*)=O,热力学性质,Dihedral Thermal Conductivity,0.0160631754259397,W/m·K
*OCCC(C)CCOC(=O)CCC(*)=O,热力学性质,Glass Transition Temperature,332.4796651195461,K
*OCCC(C)CCOC(=O)CCC(*)=O,热力学性质,Improper Thermal Conductivity,0.0,W/m·K
*OCCC(C)CCOC(=O)CCC(*)=O,物理性质,Initial Density,0.05,g/cm³
*OCCC(C)CCOC(=O)CCC(*)=O,热力学性质,Isobaric Heat Capacity,3362.3951274172937,J/mol·K
*OCCC(C)CCOC(=O)CCC(*)=O,热力学性质,Isochoric Heat Capacity,3275.6484222236754,J/mol·K
*OCCC(C)CCOC(=O)CCC(*)=O,热力学性质,K-space Thermal Conductivity,0.001473987503262,W/m·K
*OCCC(C)CCOC(=O)CCC(*)=O,热力学性质,Kinetic Energy Thermal Conductivity,0.0137001093152704,W/m·K
*OCCC(C)CCOC(=O)CCC(*)=O,热力学性质,Linear Expansion Coefficient,9.742535014817526e-05,1/K
*OCCC(C)CCOC(=O)CCC(*)=O,结构性质,Mean Squared End-to-End Distance,33.62984302902222,nm²
*OCCC(C)CCOC(=O)CCC(*)=O,分子量信息,Molecular Weight Monomer 1,200.2340000000001,g/mol
*OCCC(C)CCOC(=O)CCC(*)=O,分子量信息,Number Average Molecular Weight,6637.791999999965,g/mol
*OCCC(C)CCOC(=O)CCC(*)=O,热力学性质,Pairwise Thermal Conductivity,0.0694712619730029,W/m·K
*OCCC(C)CCOC(=O)CCC(*)=O,分子量信息,Polydispersity Index,1.0000000000000002,
*OCCC(C)CCOC(=O)CCC(*)=O,热力学性质,Potential Energy Thermal Conductivity,-0.009104066,W/m·K
*OCCC(C)CCOC(=O)CCC(*)=O,量子化学性质,QM Dipole Moment Monomer 1,3.829987620385438,Debye
*OCCC(C)CCOC(=O)CCC(*)=O,结构性质,QM HOMO Energy Monomer 1,-9.493527299,eV
*OCCC(C)CCOC(=O)CCC(*)=O,结构性质,QM LUMO Energy Monomer 1,1.1035411089657507,eV
*OCCC(C)CCOC(=O)CCC(*)=O,量子化学性质,QM Polarizability Monomer 1,19.536360268958223,a.u.
*OCCC(C)CCOC(=O)CCC(*)=O,量子化学性质,QM Polarizability XX Component Monomer 1,22.033366537308343,a.u.
*OCCC(C)CCOC(=O)CCC(*)=O,量子化学性质,QM Polarizability XY Component Monomer 1,-0.575932487,a.u.
*OCCC(C)CCOC(=O)CCC(*)=O,量子化学性质,QM Polarizability XZ Component Monomer 1,0.7258090694476773,a.u.
*OCCC(C)CCOC(=O)CCC(*)=O,量子化学性质,QM Polarizability YY Component Monomer 1,17.133666554163202,a.u.
*OCCC(C)CCOC(=O)CCC(*)=O,量子化学性质,QM Polarizability YZ Component Monomer 1,-0.553278438,a.u.
*OCCC(C)CCOC(=O)CCC(*)=O,量子化学性质,QM Polarizability ZZ Component Monomer 1,19.442047715403124,a.u.
*OCCC(C)CCOC(=O)CCC(*)=O,结构性质,QM Total Energy Monomer 1,-1819949.574,Hartree
*OCCC(C)CCOC(=O)CCC(*)=O,结构性质,Radius of Gyration,21.123596495000008,nm
*OCCC(C)CCOC(=O)CCC(*)=O,光学性质,Refractive Index,1.453340938529117,
*OCCC(C)CCOC(=O)CCC(*)=O,结构性质,Scaled Radius of Gyration,0.1075359507973867,
*OCCC(C)CCOC(=O)CCC(*)=O,动力学性质,Self-Diffusion Coefficient,9.173136829252592e-13,cm2/s
*OCCC(C)CCOC(=O)CCC(*)=O,电学性质,Static Dielectric Constant,1.639972779947664,
*OCCC(C)CCOC(=O)CCC(*)=O,热力学性质,Temperature,300.0,K
*OCCC(C)CCOC(=O)CCC(*)=O,热力学性质,Tg Fit RMSE,0.020462813474426,
*OCCC(C)CCOC(=O)CCC(*)=O,热力学性质,Thermal Conductivity,0.2555628313378329,W/m·K
*OCCC(C)CCOC(=O)CCC(*)=O,热力学性质,Thermal Expansion Coefficient Above Tg,-0.000757471,1/K
*OCCC(C)CCOC(=O)CCC(*)=O,热力学性质,Thermal Expansion Coefficient Below Tg,-0.000258289,1/K
*OCCC(C)CCOC(=O)CCC(*)=O,热力学性质,Volume Expansion Coefficient,0.0002922760504445,1/K
*OCCC(C)CCOC(=O)CCC(*)=O,分子量信息,Weight Average Molecular Weight,6637.791999999966,g/mol
*OCCSCCOC(=O)CCC(*)=O,热力学性质,Angle Thermal Conductivity,0.0720441428206962,W/m·K
*OCCSCCOC(=O)CCC(*)=O,热力学性质,Bond Thermal Conductivity,0.0703410574606863,W/m·K
*OCCSCCOC(=O)CCC(*)=O,电学性质,DC Dielectric Constant,3.4975762260495764,
*OCCSCCOC(=O)CCC(*)=O,物理性质,Density,1.233532914,g/cm³
*OCCSCCOC(=O)CCC(*)=O,热力学性质,Dihedral Thermal Conductivity,0.0117093229432363,W/m·K
*OCCSCCOC(=O)CCC(*)=O,热力学性质,Glass Transition Temperature,358.79853879394125,K
*OCCSCCOC(=O)CCC(*)=O,热力学性质,Improper Thermal Conductivity,0.0,W/m·K
*OCCSCCOC(=O)CCC(*)=O,物理性质,Initial Density,0.05,g/cm³
*OCCSCCOC(=O)CCC(*)=O,热力学性质,Isobaric Heat Capacity,2850.047683408907,J/mol·K
*OCCSCCOC(=O)CCC(*)=O,热力学性质,Isochoric Heat Capacity,2765.388391434367,J/mol·K
*OCCSCCOC(=O)CCC(*)=O,热力学性质,K-space Thermal Conductivity,0.0032118754980552,W/m·K
*OCCSCCOC(=O)CCC(*)=O,热力学性质,Kinetic Energy Thermal Conductivity,0.0098418591328576,W/m·K
*OCCSCCOC(=O)CCC(*)=O,热力学性质,Linear Expansion Coefficient,9.918896984601376e-05,1/K
*OCCSCCOC(=O)CCC(*)=O,结构性质,Mean Squared End-to-End Distance,33.39312042236328,nm²
*OCCSCCOC(=O)CCC(*)=O,分子量信息,Molecular Weight Monomer 1,204.24700000000007,g/mol
*OCCSCCOC(=O)CCC(*)=O,分子量信息,Number Average Molecular Weight,8199.949999999972,g/mol
*OCCSCCOC(=O)CCC(*)=O,热力学性质,Pairwise Thermal Conductivity,0.0731499029248626,W/m·K
*OCCSCCOC(=O)CCC(*)=O,分子量信息,Polydispersity Index,1.0000000000000004,
*OCCSCCOC(=O)CCC(*)=O,热力学性质,Potential Energy Thermal Conductivity,-0.002437063,W/m·K
*OCCSCCOC(=O)CCC(*)=O,量子化学性质,QM Dipole Moment Monomer 1,1.4113514016885846,Debye
*OCCSCCOC(=O)CCC(*)=O,结构性质,QM HOMO Energy Monomer 1,-9.179206911,eV
*OCCSCCOC(=O)CCC(*)=O,结构性质,QM LUMO Energy Monomer 1,1.5610655491901626,eV
*OCCSCCOC(=O)CCC(*)=O,量子化学性质,QM Polarizability Monomer 1,19.17006399256833,a.u.
*OCCSCCOC(=O)CCC(*)=O,量子化学性质,QM Polarizability XX Component Monomer 1,22.717145647356737,a.u.
*OCCSCCOC(=O)CCC(*)=O,量子化学性质,QM Polarizability XY Component Monomer 1,0.6515467680134519,a.u.
*OCCSCCOC(=O)CCC(*)=O,量子化学性质,QM Polarizability XZ Component Monomer 1,-1.52298267,a.u.
*OCCSCCOC(=O)CCC(*)=O,量子化学性质,QM Polarizability YY Component Monomer 1,18.419018780298188,a.u.
*OCCSCCOC(=O)CCC(*)=O,量子化学性质,QM Polarizability YZ Component Monomer 1,1.5815595523442594,a.u.
*OCCSCCOC(=O)CCC(*)=O,量子化学性质,QM Polarizability ZZ Component Monomer 1,16.374027550050062,a.u.
*OCCSCCOC(=O)CCC(*)=O,结构性质,QM Total Energy Monomer 1,-2658974.945,Hartree
*OCCSCCOC(=O)CCC(*)=O,结构性质,Radius of Gyration,21.91864334999997,nm
*OCCSCCOC(=O)CCC(*)=O,光学性质,Refractive Index,1.495857981854046,
*OCCSCCOC(=O)CCC(*)=O,结构性质,Scaled Radius of Gyration,0.0982939861528766,
*OCCSCCOC(=O)CCC(*)=O,动力学性质,Self-Diffusion Coefficient,1.0415706465294989e-12,cm2/s
*OCCSCCOC(=O)CCC(*)=O,电学性质,Static Dielectric Constant,2.259985124173117,
*OCCSCCOC(=O)CCC(*)=O,热力学性质,Temperature,300.0,K
*OCCSCCOC(=O)CCC(*)=O,热力学性质,Tg Fit RMSE,0.0270783233345097,
*OCCSCCOC(=O)CCC(*)=O,热力学性质,Thermal Conductivity,0.2378610976821828,W/m·K
*OCCSCCOC(=O)CCC(*)=O,热力学性质,Thermal Expansion Coefficient Above Tg,-0.000827294,1/K
*OCCSCCOC(=O)CCC(*)=O,热力学性质,Thermal Expansion Coefficient Below Tg,-0.000267733,1/K
*OCCSCCOC(=O)CCC(*)=O,热力学性质,Volume Expansion Coefficient,0.000297566909538,1/K
*OCCSCCOC(=O)CCC(*)=O,分子量信息,Weight Average Molecular Weight,8199.949999999975,g/mol
*OCCSSCCOC(=O)CCC(*)=O,热力学性质,Angle Thermal Conductivity,0.0636475183199823,W/m·K
*OCCSSCCOC(=O)CCC(*)=O,热力学性质,Bond Thermal Conductivity,0.047765730790086,W/m·K
*OCCSSCCOC(=O)CCC(*)=O,电学性质,DC Dielectric Constant,3.393979223834936,
*OCCSSCCOC(=O)CCC(*)=O,物理性质,Density,1.287998997,g/cm³
*OCCSSCCOC(=O)CCC(*)=O,热力学性质,Dihedral Thermal Conductivity,0.0083975285498722,W/m·K
*OCCSSCCOC(=O)CCC(*)=O,热力学性质,Glass Transition Temperature,376.7754635159224,K
*OCCSSCCOC(=O)CCC(*)=O,热力学性质,Improper Thermal Conductivity,0.0,W/m·K
*OCCSSCCOC(=O)CCC(*)=O,物理性质,Initial Density,0.05,g/cm³
*OCCSSCCOC(=O)CCC(*)=O,热力学性质,Isobaric Heat Capacity,2594.471841681646,J/mol·K
*OCCSSCCOC(=O)CCC(*)=O,热力学性质,Isochoric Heat Capacity,2463.7821708388087,J/mol·K
*OCCSSCCOC(=O)CCC(*)=O,热力学性质,K-space Thermal Conductivity,0.0018400837333,W/m·K
*OCCSSCCOC(=O)CCC(*)=O,热力学性质,Kinetic Energy Thermal Conductivity,0.0139525059978596,W/m·K
*OCCSSCCOC(=O)CCC(*)=O,热力学性质,Linear Expansion Coefficient,0.0001170087621136,1/K
